Account_Number,last_txn_date,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,recency_days,churn_label
ADDC67051210753535,2024-09-25 22:16:59,1,4101.57,4101.57,42,30093.19,15518.18,116,1
ADEX88452969338947,2023-02-17 04:07:03,1,3895.45,3895.45,30,79013.58,9969.24,703,1
ADFD92446330297399,2023-10-13 09:34:46,1,2514.11,2514.11,66,27347.72,10670.97,465,1
ADIQ12971988408943,2024-09-29 02:19:50,1,567.67,567.67,34,30176.26,3725.88,113,1
ADNK55786457865557,2023-05-05 15:56:07,1,2077.64,2077.64,66,98626.56,12749.65,625,1
ADPU05694904578847,2023-06-25 21:02:16,1,3997.86,3997.86,22,141331.41,9913.92,574,1
ADSV46116081074525,2024-02-11 06:31:03,1,2857.21,2857.21,51,32698.82,10720.27,344,1
ADUY36510344442990,2023-08-05 05:34:04,1,2180.26,2180.26,31,25773.88,2875.97,534,1
ADUZ17617061301127,2023-06-09 23:58:01,1,3626.49,3626.49,51,111889.73,5433.79,590,1
AEFU72752152723114,2023-09-06 22:09:24,1,4204.78,4204.78,41,85167.88,2277.6,501,1
AEII64285952529242,2024-02-04 21:43:03,1,3992.12,3992.12,35,55918.81,7023.47,350,1
AERC00032666178088,2023-12-15 07:43:28,1,1384.62,1384.62,66,30549.52,18883.17,402,1
AEST73854424029480,2024-04-21 14:25:32,1,4819.33,4819.33,52,24884.32,6738.62,273,1
AEUP80620922751589,2024-03-30 13:33:33,1,2962.85,2962.85,45,31288.84,17560.43,295,1
AEYJ36524055364818,2024-04-26 11:51:17,1,3175.75,3175.75,48,21273.8512,4285.51,269,1
AEYU68387890345029,2023-06-27 16:04:33,1,3354.08,3354.08,65,127613.43,10604.68,572,1
AFEZ34778045797251,2024-05-14 05:33:00,1,3037.29,3037.29,56,39316.37,17759.28,251,1
AGFO18875875098020,2024-09-23 01:40:48,1,1574.35,1574.35,49,87487.18,3829.24,119,1
AGFV11920613638527,2024-08-03 14:37:32,1,3105.2,3105.2,69,23915.27,13459.96,169,1
AGGD37587807767758,2024-01-13 17:13:13,1,2973.47,2973.47,70,140449.71,15763.23,372,1
AGHA86414863290850,2024-03-23 17:41:08,1,2037.5,2037.5,39,118621.59,11249.48,302,1
AGOP31205886948530,2024-05-07 19:35:50,1,4151.2,4151.2,58,35888.67,10761.03,257,1
AGOY01709264070308,2023-12-26 12:06:18,1,205.96,205.96,29,57466.94,1287.68,391,1
AGSJ29045886792529,2023-09-05 22:06:35,1,1143.35,1143.35,56,69186.42,7821.39,502,1
AGVE04347433442106,2023-03-24 00:58:21,1,3846.98,3846.98,51,116516.46,7153.01,668,1
AGVE21775990254983,2024-10-02 13:44:36,1,3279.15,3279.15,64,24885.88,10527.15,109,1
AGWP94400010568977,2023-07-28 04:28:52,1,4245.26,4245.26,61,63444.02,14948.63,542,1
AHAB81039111407559,2023-07-24 22:55:13,1,1885.49,1885.49,45,80324.87,8512.31,545,1
AHDH46443901533958,2023-06-03 20:20:00,1,949.16,949.16,24,96948.45,3594.25,596,1
AHEH91932528267126,2023-07-06 03:16:34,1,736.49,736.49,60,83701.11,9759.93,564,1
AHGO44999870933913,2023-02-07 02:46:48,1,4160.97,4160.97,42,66914.4,15507.09,713,1
AHTD70263444359624,2023-03-18 15:08:10,1,4580.78,4580.78,18,118089.47,10771.31,673,1
AHTT49201330342289,2023-08-28 21:25:01,1,1872.93,1872.93,51,51959.62,14083.89,510,1
AHTW34271866925529,2023-05-26 05:40:45,1,2552.21,2552.21,40,58711.42,6670.78,605,1
AIEP63628144471893,2024-06-01 05:07:57,1,2445.45,2445.45,49,92661.75,1447.45,233,1
AIJO12083624874856,2025-01-11 23:03:34,1,1802.79,1802.79,44,24290.63,14441.86,8,0
AIMA70014413068624,2023-08-20 19:34:08,1,4564.58,4564.58,43,22165.58,5183.81,518,1
AIUN05100199500987,2024-11-22 16:26:34,1,1582.93,1582.93,69,83082.03,18161.77,58,0
AIWL34782772532095,2023-10-05 17:21:54,1,231.29,231.29,50,23958.37,8548.56,472,1
AIXZ01939589818432,2024-02-13 22:13:46,1,1252.23,1252.23,46,116311.13,17656.96,341,1
AIYM57173771578729,2023-12-30 07:45:10,1,4868.54,4868.54,58,64523.53,4171.05,387,1
AJAO14697147973418,2024-08-25 11:19:51,1,4059.79,4059.79,26,131751.68,4091.36,148,1
AJNS01749538916244,2023-09-22 05:51:26,1,3191.53,3191.53,42,123263.16,17407.59,486,1
AJOU00622501775917,2024-07-19 20:41:34,1,4926.88,4926.88,65,48736.15,5577.12,184,1
AJTQ35632770361932,2024-05-20 01:08:43,1,1360.2,1360.2,27,36158.62,9261.84,245,1
AJUF54969192845525,2024-09-14 07:28:33,1,1009.75,1009.75,64,111656.34,14520.09,128,1
AJUR79370123357937,2023-12-22 16:00:18,1,157.66,157.66,66,84683.46,6412.13,394,1
AJUT62732262611424,2024-11-12 01:39:28,1,3479.14,3479.14,49,138841.66,4120.05,69,0
AJUZ99157380679967,2023-09-05 23:52:34,1,4068.48,4068.48,25,29076.05,9901.01,502,1
AJVJ79405051594906,2023-09-25 18:35:03,1,873.11,873.11,43,98620.64,17881.64,482,1
AJYP79001388597871,2024-10-03 07:17:56,1,951.35,951.35,22,100444.84,12648.49,109,1
AKGO82868722030710,2025-01-11 21:22:32,1,1800.85,1800.85,51,131896.33,16229.99,8,0
AKHD60227433037271,2024-04-05 16:41:49,1,2977.23,2977.23,36,84887.87,11000.38,289,1
AKHJ28164416101975,2024-09-17 09:00:00,1,432.64,432.64,41,90457.04,10129.7,125,1
AKHK21622965221198,2024-10-07 16:37:58,1,927.81,927.81,24,72683.95,688.09,104,1
AKID52807864770169,2023-12-01 09:36:45,1,1005.48,1005.48,44,60647.11,6463.42,416,1
AKIH37073671274706,2024-09-27 19:21:27,1,2891.78,2891.78,41,121337.84,11784.5,114,1
AKTW20823530976691,2023-06-18 23:18:37,1,4726.24,4726.24,20,129178.53,8843.31,581,1
AKUB52438380582692,2024-05-09 23:43:22,1,3863.54,3863.54,42,116418.08,5707.9,255,1
ALBW74511524718710,2023-10-01 02:04:06,1,2366.76,2366.76,58,71708.49,17225.25,477,1
ALHJ74923081079934,2023-07-29 09:38:15,1,200.76,200.76,51,90718.15,18773.91,541,1
ALJU67884880595474,2024-03-07 12:55:56,1,2496.65,2496.65,43,135581.48,421.12,318,1
ALPG26630562597223,2023-03-03 17:25:46,1,2776.92,2776.92,21,37678.04,11801.07,688,1
ALYH72565633734348,2024-06-21 15:18:14,1,2484.29,2484.29,53,27858.05,9674.85,212,1
AMAS58062745669839,2024-11-26 04:37:35,1,3970.53,3970.53,57,148589.88799999998,14003.31,55,0
AMGH65586171106967,2024-03-01 02:23:21,1,4677.88,4677.88,48,94130.52,646.88,325,1
AMHE50313928048502,2023-01-29 09:43:19,1,1189.84,1189.84,66,29763.63,2302.19,722,1
AMKN81540985217729,2023-03-01 21:14:09,1,1924.71,1924.71,45,50656.82,4922.5,690,1
AMNK89782425658293,2023-08-24 04:05:16,1,693.65,693.65,42,65586.83,19477.54,515,1
AMSY84433890254712,2023-10-21 04:52:01,1,3134.27,3134.27,56,62388.8,15338.49,457,1
AMUF01663340142156,2023-03-20 08:19:21,1,3033.27,3033.27,58,25339.24,12731.52,672,1
AMWE63823919294787,2023-05-02 04:00:07,1,3391.25,3391.25,21,33307.07,9542.78,629,1
AMXH78170483648116,2024-02-07 15:20:07,1,3666.04,3666.04,26,54379.32,5415.65,347,1
ANAQ27610023512094,2023-03-12 13:22:57,1,670.07,670.07,60,100987.86,5537.18,679,1
ANCR12054647548954,2024-05-28 22:03:46,1,1396.33,1396.33,58,59953.07,6594.75,236,1
ANDE68737014498771,2023-02-13 07:20:00,1,1592.34,1592.34,60,62254.48,4953.71,707,1
ANJK33845247994197,2024-09-29 20:54:12,1,654.72,654.72,27,75653.62,11883.58,112,1
ANMR67994206137698,2023-04-01 15:08:26,1,399.38,399.38,69,90011.62,19781.6228,659,1
AOKJ09150863218122,2023-10-12 00:47:22,1,1704.55,1704.55,52,124054.01,7165.63,466,1
AOLZ35138345629334,2023-09-18 21:35:26,1,3798.67,3798.67,52,148331.67,17549.08,489,1
AOTS14937191045141,2023-04-09 03:58:13,1,3079.97,3079.97,31,93273.18,18502.64,652,1
AOUM32713538676259,2024-05-15 11:52:25,1,2255.32,2255.32,23,21273.8512,11458.87,250,1
AOYM61706166846482,2024-09-22 02:11:25,1,648.31,648.31,38,108619.98,4895.3,120,1
AOYV66453629213501,2024-06-21 13:48:45,1,3434.4,3434.4,68,69793.24,11549.53,212,1
APDH69300522144267,2024-03-15 03:46:39,1,3548.11,3548.11,68,105591.54,17562.4,311,1
APHA81634811050272,2024-09-07 10:58:10,1,2817.91,2817.91,37,133156.5,6656.58,135,1
APWC55587094042245,2024-05-07 16:05:54,1,231.86,231.86,37,112341.77,2088.42,257,1
AQDZ57129015071380,2023-09-21 20:47:01,1,3354.79,3354.79,35,114140.67,13110.67,486,1
AQIQ18762099069319,2024-03-20 11:24:11,1,1514.44,1514.44,29,54059.45,13848.36,306,1
AQOR87526322844133,2023-04-26 01:34:58,1,3238.66,3238.66,61,80265.51,1487.37,635,1
AQSZ34868839062467,2023-03-17 05:15:18,1,2741.95,2741.95,61,97541.68,17902.27,675,1
AQUW74950334670577,2023-06-14 10:06:10,1,1671.18,1671.18,32,141158.19,13743.35,586,1
AQVY78847798882437,2024-04-17 05:08:53,1,2033.11,2033.11,38,21273.8512,6390.23,278,1
AQXH78191907499216,2023-06-30 19:47:20,1,602.18,602.18,56,85216.62,5650.04,569,1
ARCT00567352635951,2023-03-07 13:23:16,1,2724.5,2724.5,36,120559.93,1202.2,684,1
ARDB35743189100492,2024-02-17 06:08:06,1,4397.27,4397.27,53,32321.19,1848.17,338,1
ARJH98893903169646,2024-10-07 15:05:21,1,89.37,89.37,60,38442.0,2120.31,104,1
ARMO89451193246719,2024-07-04 10:11:34,1,4934.48,4934.48,36,52902.07,2249.3,200,1
ARMX57879704157429,2024-02-28 00:48:15,1,2733.1,2733.1,59,95807.2,7085.59,327,1
ARNU55099070194305,2024-02-04 04:00:46,1,2583.05,2583.05,54,58906.74,12371.55,351,1
ARUR42672339907615,2024-12-28 14:59:53,1,1665.93,1665.93,42,144140.53,12962.68,22,0
ARYI37685507896793,2023-12-07 17:18:03,1,835.72,835.72,65,137523.71,9862.3,409,1
ASPN58357178620892,2023-11-30 17:40:44,1,1420.86,1420.86,51,72062.88,15579.58,416,1
ASPP53967379487148,2024-08-14 18:11:34,1,4573.17,4573.17,69,124031.77,10198.61,158,1
ASRJ16437702170470,2025-01-04 12:02:51,1,2838.39,2838.39,59,121205.19,18982.55,16,0
ASTK78183380703315,2024-06-11 21:38:23,1,2521.95,2521.95,62,65601.35,16148.37,222,1
ASWW37616522898907,2023-07-09 07:44:27,1,4836.51,4836.51,40,84218.75,2648.03,561,1
ASXC10349561199899,2023-03-23 04:25:48,1,3891.2,3891.2,23,67358.55,17739.48,669,1
ASXC28277565399837,2023-08-17 22:59:03,1,1531.85,1531.85,45,76826.47,16130.34,521,1
ATAD27172098402709,2024-06-21 04:38:37,1,1582.07,1582.07,54,43364.18,5351.06,213,1
ATBP22087121894523,2024-09-11 14:22:01,1,232.08,232.08,45,23348.28,10927.35,130,1
ATBW59119186233922,2024-01-20 01:52:47,1,3605.01,3605.01,43,51492.56,2300.87,366,1
ATEE22128816903583,2023-11-29 01:08:23,1,2448.04,2448.04,48,115621.49,12114.09,418,1
ATER03371421374727,2023-06-24 09:05:31,1,1394.74,1394.74,68,94960.33,10507.64,576,1
ATFG35174656426018,2023-10-07 09:06:29,1,2052.84,2052.84,26,25976.46,5829.02,471,1
ATKH85574216435990,2023-02-22 10:49:14,1,4713.67,4713.67,28,122792.67,6125.02,698,1
ATOD84679087737316,2024-08-05 01:17:04,1,1830.24,1830.24,44,35840.03,17351.92,168,1
ATOI61917798768299,2023-11-03 06:27:33,1,4321.0,4321.0,23,88402.49,4371.82,444,1
ATQQ22092521094235,2023-08-17 07:41:44,1,4743.75,4743.75,25,126133.47,4771.02,522,1
ATTL75681134315329,2023-06-09 00:40:30,1,4448.71,4448.71,56,43895.37,3078.42,591,1
ATWL22426537932219,2023-11-20 09:11:28,1,2656.61,2656.61,43,124719.24,7160.12,427,1
ATWQ05877155590627,2023-11-27 20:12:35,1,3802.28,3802.28,45,23583.89,17932.98,419,1
ATYO90963515911753,2025-01-17 02:04:03,1,603.97,603.97,58,97158.62,1605.28,3,0
AUFS02769990450820,2023-04-23 11:30:47,1,51.378,51.378,35,24040.32,18236.13,638,1
AUJT29328507196129,2024-03-03 06:26:16,1,4175.64,4175.64,69,81713.41,10678.89,323,1
AUPX15116966672521,2024-08-09 22:45:53,1,3410.14,3410.14,67,63463.46,7870.02,163,1
AUPY37676497378053,2024-02-23 01:17:25,1,2370.23,2370.23,66,112996.65,14843.82,332,1
AURJ86711724985963,2024-08-17 18:09:13,1,4233.17,4233.17,33,49907.72,12511.66,155,1
AURW42296651444865,2023-02-03 01:09:36,1,4020.46,4020.46,44,104618.29,10856.96,717,1
AVEG24412336132850,2024-05-07 09:13:03,1,998.19,998.19,65,143043.22,18439.63,258,1
AVGS66203858864078,2023-02-02 08:05:41,1,2715.26,2715.26,69,54269.57,11126.77,718,1
AVMD43563108232111,2023-03-13 23:41:09,1,534.1,534.1,31,101142.5,9444.49,678,1
AVMG26739206042942,2024-08-08 22:33:57,1,2289.32,2289.32,18,43131.68,3925.1,164,1
AVXW85578002443236,2024-03-04 06:12:34,1,375.04,375.04,66,54474.24,3679.28,322,1
AVZK75997539291881,2024-11-25 15:43:27,1,656.22,656.22,22,50198.05,15236.53,55,0
AWBG27303248274635,2024-10-12 18:19:45,1,2629.76,2629.76,46,37234.34,10731.18,99,1
AWCD92360376811872,2023-05-09 23:17:58,1,3519.18,3519.18,57,21273.8512,18586.4,621,1
AWOG55278451271053,2024-04-01 16:12:25,1,754.7,754.7,57,116219.53,10559.73,293,1
AXBE58565337773031,2023-09-23 13:39:37,1,2503.81,2503.81,64,94453.1,11353.16,484,1
AXFS27640547398622,2023-03-01 02:40:58,1,4727.35,4727.35,69,113202.35,4677.75,691,1
AXJU43183436953102,2024-04-16 10:41:14,1,2465.66,2465.66,52,89196.0,5103.35,279,1
AXMG24051026583879,2023-06-03 08:49:50,1,223.81,223.81,63,87307.28,8687.46,597,1
AXPS74076856449255,2023-02-09 23:37:19,1,3454.26,3454.26,66,25134.0,14183.86,710,1
AXYS33732608082872,2023-09-24 08:02:35,1,750.34,750.34,68,141134.23,3897.14,484,1
AYCA26557647566573,2023-01-21 09:37:01,1,748.74,748.74,23,107678.78,2545.79,730,1
AYEE37799450549522,2023-08-22 14:53:27,1,3048.98,3048.98,22,53460.47,11434.05,516,1
AYEU61186801093609,2024-12-12 01:31:48,1,2871.74,2871.74,46,129852.89,16060.05,39,0
AYFO41485726029254,2023-07-01 15:41:31,1,1132.31,1132.31,60,113125.24,3789.87,568,1
AYLF77035476630779,2024-04-05 19:03:27,1,4790.37,4790.37,62,74035.66,14808.13,289,1
AYNY25873608055822,2024-06-05 19:04:38,1,4290.51,4290.51,62,43429.67,8761.31,228,1
AYPH82322583376223,2024-06-10 04:53:38,1,4032.02,4032.02,46,21276.13,13504.98,224,1
AYQP53589832435951,2023-03-22 16:36:17,1,1145.95,1145.95,18,111486.74,3086.85,669,1
AYRO70152424431029,2024-08-19 06:48:38,1,856.71,856.71,28,40092.13,7029.89,154,1
AYTB07121024234473,2023-03-08 04:46:44,1,665.14,665.14,46,148589.88799999998,13615.49,684,1
AYZM40646278866380,2024-10-01 00:52:49,1,3436.83,3436.83,43,139749.25,9668.45,111,1
AZAT66270266045095,2024-07-04 15:23:00,1,4542.52,4542.52,35,48814.76,1802.21,199,1
AZFQ81520895217680,2023-07-21 05:13:51,1,3854.98,3854.98,47,73918.96,15725.17,549,1
AZGF88894897894172,2024-02-23 08:53:30,1,1271.9,1271.9,18,114495.16,11490.02,332,1
AZHF31248914274258,2024-05-10 23:40:50,1,3127.54,3127.54,65,124000.27,14135.11,254,1
AZPO31231555057052,2023-05-25 06:23:28,1,4057.99,4057.99,66,70729.86,8899.73,606,1
AZSG40991650811364,2023-02-18 06:31:34,1,2347.73,2347.73,66,126504.42,8696.0,702,1
AZSQ31818034307148,2023-12-24 22:29:41,1,2191.38,2191.38,21,66473.39,10459.37,392,1
AZVF27982579988359,2023-06-20 15:26:02,1,4958.134399999999,4958.134399999999,39,63462.8,10786.4,579,1
AZVP55154526075699,2023-08-14 16:09:23,1,3584.43,3584.43,70,106470.23,1990.84,524,1
AZWK50800509083069,2024-11-06 22:34:47,1,3058.49,3058.49,53,86246.96,10066.2,74,0
AZWU55456515414238,2023-03-22 07:42:36,1,147.71,147.71,49,82394.43,12620.2,670,1
AZZM97775323863773,2024-11-24 20:59:47,1,1326.28,1326.28,69,99119.66,9690.73,56,0
BAFP63272237369504,2023-07-22 11:23:01,1,2601.2,2601.2,53,111104.0,11654.62,548,1
BAIA47692105336514,2024-07-25 23:40:12,1,1193.83,1193.83,39,77233.55,13260.2,178,1
BAIC81366206661020,2024-02-12 15:35:48,1,4040.16,4040.16,68,136127.74,19320.51,342,1
BARX14528606892174,2025-01-17 12:50:24,1,3186.28,3186.28,21,140807.04,9185.41,2,0
BAWF55693186062314,2023-12-06 10:48:17,1,1309.23,1309.23,34,122405.53,16046.6,411,1
BAXP70990317211359,2023-05-17 21:16:15,1,1117.34,1117.34,43,44146.05,4216.92,613,1
BBAL21410707163485,2024-06-09 02:59:31,1,2077.35,2077.35,50,29393.18,18675.28,225,1
BBFG02865505224114,2023-04-20 07:51:09,1,4297.41,4297.41,32,84641.25,3142.24,641,1
BBIY87978889753585,2024-03-17 07:42:01,1,1331.0,1331.0,24,138496.23,17253.49,309,1
BBKI31222649232724,2024-05-26 01:10:42,1,2554.51,2554.51,38,143579.95,17831.8,239,1
BBLN28443290811609,2025-01-05 10:31:29,1,2695.4,2695.4,38,124130.61,2497.78,15,0
BBMZ72466390321430,2023-07-30 05:05:09,1,658.18,658.18,22,58651.82,11998.25,540,1
BBNH64704870428048,2023-12-22 09:35:23,1,810.43,810.43,35,76133.0,6607.0,395,1
BBSF82103887815141,2023-08-30 11:54:29,1,2697.09,2697.09,42,48190.62,6520.0,509,1
BBSH21956932050650,2023-10-11 19:10:09,1,4594.25,4594.25,56,29943.88,3109.85,466,1
BBTF99695280707718,2024-09-28 01:13:09,1,4176.35,4176.35,55,89613.1,14369.27,114,1
BBZI62776572565920,2023-03-25 17:27:45,1,3377.69,3377.69,32,66560.92,15930.12,666,1
BCKH03044077811096,2023-05-09 10:14:37,1,3432.06,3432.06,45,134744.59,931.16,622,1
BCKI38578180779491,2023-08-11 02:25:52,1,1168.82,1168.82,64,77331.48,13165.85,528,1
BCKZ71171321940247,2023-08-04 06:31:06,1,2658.18,2658.18,57,138065.05,4756.3,535,1
BCNU09706704302419,2024-02-22 01:42:48,1,3067.13,3067.13,19,41835.0,17047.84,333,1
BCPX01175556774735,2024-04-19 12:47:35,1,1346.47,1346.47,18,99914.13,16191.02,275,1
BCRP36376274208600,2024-01-15 13:28:55,1,4852.83,4852.83,44,84850.61,5781.15,370,1
BCSG63395975778977,2024-07-15 13:34:35,1,759.92,759.92,43,65064.49,4129.91,188,1
BCVJ10488206456200,2023-05-30 15:46:25,1,3004.73,3004.73,45,23484.05,1956.65,600,1
BCWJ10082592306511,2023-04-08 15:12:50,1,2863.43,2863.43,54,105749.75,6128.84,652,1
BCZB89810723227478,2023-05-25 22:27:30,1,821.75,821.75,58,85270.49,19189.42,605,1
BDIL84081144157281,2024-11-10 15:50:44,1,1428.22,1428.22,42,123804.5,4606.06,70,0
BDLM53995211542401,2025-01-15 03:23:19,1,568.15,568.15,51,63934.01,3153.95,5,0
BDXI07983400771601,2023-04-09 00:09:52,1,3238.62,3238.62,18,98093.5,10610.57,652,1
BDZC54033596900705,2024-05-30 04:01:16,1,4957.36,4957.36,64,34824.17,7471.98,235,1
BEDB91626969672783,2024-01-26 17:56:12,1,3819.03,3819.03,19,101232.58,7150.74,359,1
BEDL16758646339534,2023-11-28 20:35:46,1,1522.66,1522.66,19,107908.92,11174.53,418,1
BELY89632174357483,2024-08-21 09:37:06,1,4457.67,4457.67,52,59546.88,19332.85,152,1
BESI55469726142448,2023-03-17 13:53:34,1,677.06,677.06,34,122596.33,17398.83,674,1
BETA90463766046558,2023-11-26 00:16:54,1,2432.52,2432.52,33,116853.09,17117.39,421,1
BEWJ50632705241694,2023-04-25 06:57:30,1,4226.88,4226.88,63,49819.19,1949.56,636,1
BFDF91823637251129,2024-02-28 07:02:34,1,2550.07,2550.07,27,102212.89,3694.6,327,1
BFED49161019953210,2024-09-03 02:52:09,1,3653.82,3653.82,18,68505.38,15796.47,139,1
BFFY15439044890932,2023-11-18 10:47:06,1,51.378,51.378,68,29546.17,18786.84,429,1
BFGG68287808970794,2023-07-22 00:27:56,1,1567.92,1567.92,43,142628.42,2476.89,548,1
BFIJ64423598648409,2023-05-07 03:15:23,1,1463.46,1463.46,29,122709.6,13388.22,624,1
BFLW88551088921710,2023-11-25 12:59:49,1,1716.95,1716.95,42,78638.43,19543.79,421,1
BFXC24582470807092,2023-04-18 20:23:46,1,1002.38,1002.38,68,135858.9,13852.85,642,1
BFZR79826225557419,2023-05-19 19:44:02,1,1978.59,1978.59,62,46284.0,8446.47,611,1
BGCM13177905340388,2024-10-03 19:35:47,1,4958.134399999999,4958.134399999999,25,28303.94,15674.42,108,1
BGCV06664651847887,2024-06-08 19:51:34,1,389.96,389.96,58,87674.36,8940.45,225,1
BGDR27369219167710,2023-06-19 00:22:53,1,3842.46,3842.46,53,144521.88,14373.67,581,1
BGQZ39427134247064,2024-12-15 05:39:18,1,4000.5,4000.5,65,110824.41,4863.66,36,0
BGSP10104433050980,2023-05-26 14:38:51,1,1918.3,1918.3,61,104354.52,10064.95,604,1
BHNW79889373630152,2024-12-14 08:07:00,1,3071.07,3071.07,61,44562.7,16270.99,37,0
BHRC56959070569510,2024-01-31 14:58:31,1,51.378,51.378,61,115520.89,7419.04,354,1
BHRW85772603336063,2024-02-25 07:41:45,1,3896.64,3896.64,19,91871.41,13432.33,330,1
BHWK06757896833557,2023-11-03 14:08:06,1,3527.61,3527.61,68,35724.76,12779.13,443,1
BIBM29118722824718,2023-03-11 03:36:08,1,501.28,501.28,25,32386.63,1255.21,681,1
BIES85658513797275,2025-01-05 17:24:52,1,2474.0,2474.0,49,138377.23,19781.6228,14,0
BIHZ94616222772610,2023-02-25 04:31:03,1,674.07,674.07,63,91508.59,9596.65,695,1
BIXP07893798775239,2024-06-28 22:34:07,1,51.378,51.378,20,48816.29,3217.31,205,1
BJBH24044012178563,2023-03-21 18:11:45,1,1659.93,1659.93,29,147110.2,7485.28,670,1
BJEA42247042848501,2024-07-30 20:05:32,1,98.01,98.01,41,124126.28,12241.54,173,1
BJII55143442111754,2024-12-21 02:34:09,1,1643.19,1643.19,24,23479.08,14277.37,30,0
BJIN65895247609606,2024-04-13 10:32:24,1,1242.48,1242.48,19,79549.0,4099.47,282,1
BJJC85006030798436,2023-05-06 08:59:43,1,3958.17,3958.17,33,124935.23,19045.89,625,1
BJOZ22053970774544,2023-07-07 11:58:41,1,3128.92,3128.92,24,108413.59,17854.0,563,1
BJPF94842209001431,2023-02-18 00:30:20,1,2759.58,2759.58,57,43066.31,19249.81,702,1
BJSJ44076634933965,2023-04-23 12:10:19,1,2922.48,2922.48,24,59019.12,1513.57,638,1
BJST88782988727544,2023-10-24 09:05:20,1,4304.58,4304.58,59,27269.05,3637.82,454,1
BJVA34176097137779,2023-03-16 22:36:44,1,1988.08,1988.08,33,60920.97,19153.71,675,1
BKCK57826388032427,2024-09-24 20:08:34,1,2214.67,2214.67,33,51285.75,5867.24,117,1
BKEB48825267913885,2023-07-18 02:44:09,1,3655.29,3655.29,27,25303.46,936.64,552,1
BKFU04956686510389,2023-03-25 08:32:51,1,1596.99,1596.99,47,47695.87,4805.89,667,1
BKQU29582923616188,2024-01-24 23:37:24,1,3924.17,3924.17,66,107515.69,13151.64,361,1
BKSB41179779631994,2023-09-03 15:40:47,1,1987.5,1987.5,68,114123.02,1077.44,504,1
BKTR68569771433608,2024-02-12 03:18:28,1,1060.11,1060.11,57,32330.17,7421.41,343,1
BKWN60361624860704,2023-03-22 13:49:28,1,1200.29,1200.29,30,97235.73,13383.06,669,1
BKXL30611390045892,2023-05-13 09:54:31,1,712.67,712.67,18,144650.24,17600.94,618,1
BLAL90855765789379,2023-11-15 04:35:08,1,3864.2,3864.2,49,148589.88799999998,363.56,432,1
BLAT22216107051843,2024-04-21 22:21:55,1,129.93,129.93,26,145574.25,9797.81,273,1
BLME01901134843391,2024-03-03 18:37:52,1,3594.99,3594.99,32,141915.5,3981.34,322,1
BLMS60580823006799,2023-12-24 06:35:36,1,2290.44,2290.44,23,56830.61,4775.2,393,1
BLOK49811180981660,2024-10-20 19:11:57,1,1764.86,1764.86,34,101522.93,6363.2,91,1
BLPC75322799752615,2023-09-24 13:33:48,1,1241.32,1241.32,57,112598.81,4557.55,483,1
BLQQ84193626313494,2024-09-25 05:20:04,1,3976.11,3976.11,29,100149.22,17349.54,117,1
BLQZ69972459715579,2024-10-27 23:42:50,1,3896.82,3896.82,70,22749.28,2328.77,84,0
