Account_Number,recency_days,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,cat_share_Clothing,cat_share_Education,cat_share_Electronics,cat_share_Entertainment,cat_share_Fitness,cat_share_Food,cat_share_Grocery,cat_share_Healthcare,cat_share_Housing,cat_share_Savings,cat_share_Shopping,cat_share_Transport,cat_share_Travel,cat_share_Utilities
AGGD37587807767758,372,1,2973.47,2973.47,70,140449.71,15763.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AGHA86414863290850,302,1,2037.5,2037.5,39,118621.59,11249.48,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOP31205886948530,257,1,4151.2,4151.2,58,35888.67,10761.03,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGOY01709264070308,391,1,205.96,205.96,29,57466.94,1287.68,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGSJ29045886792529,502,1,1143.35,1143.35,56,69186.42,7821.39,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGVE04347433442106,668,1,3846.98,3846.98,51,116516.46,7153.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AGVE21775990254983,109,1,3279.15,3279.15,64,24885.88,10527.15,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AGWP94400010568977,542,1,4245.26,4245.26,61,63444.02,14948.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AHAB81039111407559,545,1,1885.49,1885.49,45,80324.87,8512.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHDH46443901533958,596,1,949.16,949.16,24,96948.45,3594.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AHEH91932528267126,564,1,736.49,736.49,60,83701.11,9759.93,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AHGO44999870933913,713,1,4160.97,4160.97,42,66914.4,15507.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AHTD70263444359624,673,1,4580.78,4580.78,18,118089.47,10771.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AHTT49201330342289,510,1,1872.93,1872.93,51,51959.62,14083.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AHTW34271866925529,605,1,2552.21,2552.21,40,58711.42,6670.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AIEP63628144471893,233,1,2445.45,2445.45,49,92661.75,1447.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIJO12083624874856,8,1,1802.79,1802.79,44,24290.63,14441.86,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIMA70014413068624,518,1,4564.58,4564.58,43,22165.58,5183.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AIUN05100199500987,58,1,1582.93,1582.93,69,83082.03,18161.77,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIWL34782772532095,472,1,231.29,231.29,50,23958.37,8548.56,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AIXZ01939589818432,341,1,1252.23,1252.23,46,116311.13,17656.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AIYM57173771578729,387,1,4868.54,4868.54,58,64523.53,4171.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AJAO14697147973418,148,1,4059.79,4059.79,26,131751.68,4091.36,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJNS01749538916244,486,1,3191.53,3191.53,42,123263.16,17407.59,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJOU00622501775917,184,1,4926.88,4926.88,65,48736.15,5577.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
AJTQ35632770361932,245,1,1360.2,1360.2,27,36158.62,9261.84,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJUF54969192845525,128,1,1009.75,1009.75,64,111656.34,14520.09,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJUR79370123357937,394,1,157.66,157.66,66,84683.46,6412.13,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJUT62732262611424,69,1,3479.14,3479.14,49,138841.66,4120.05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AJUZ99157380679967,502,1,4068.48,4068.48,25,29076.05,9901.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AJVJ79405051594906,482,1,873.11,873.11,43,98620.64,17881.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
AJYP79001388597871,109,1,951.35,951.35,22,100444.84,12648.49,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKGO82868722030710,8,1,1800.85,1800.85,51,131896.33,16229.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKHD60227433037271,289,1,2977.23,2977.23,36,84887.87,11000.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
AKHJ28164416101975,125,1,432.64,432.64,41,90457.04,10129.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
AKHK21622965221198,104,1,927.81,927.81,24,72683.95,688.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
AKID52807864770169,416,1,1005.48,1005.48,44,60647.11,6463.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKIH37073671274706,114,1,2891.78,2891.78,41,121337.84,11784.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AKTW20823530976691,581,1,4726.24,4726.24,20,129178.53,8843.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AKUB52438380582692,255,1,3863.54,3863.54,42,116418.08,5707.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALBW74511524718710,477,1,2366.76,2366.76,58,71708.49,17225.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ALHJ74923081079934,541,1,200.76,200.76,51,90718.15,18773.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALJU67884880595474,318,1,2496.65,2496.65,43,135581.48,421.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALPG26630562597223,688,1,2776.92,2776.92,21,37678.04,11801.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ALYH72565633734348,212,1,2484.29,2484.29,53,27858.05,9674.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AMAS58062745669839,55,1,3970.53,3970.53,57,148589.88799999998,14003.31,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMGH65586171106967,325,1,4677.88,4677.88,48,94130.52,646.88,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMHE50313928048502,722,1,1189.84,1189.84,66,29763.63,2302.19,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMKN81540985217729,690,1,1924.71,1924.71,45,50656.82,4922.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMNK89782425658293,515,1,693.65,693.65,42,65586.83,19477.54,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMSY84433890254712,457,1,3134.27,3134.27,56,62388.8,15338.49,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMUF01663340142156,672,1,3033.27,3033.27,58,25339.24,12731.52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMWE63823919294787,629,1,3391.25,3391.25,21,33307.07,9542.78,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMXH78170483648116,347,1,3666.04,3666.04,26,54379.32,5415.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ANAQ27610023512094,679,1,670.07,670.07,60,100987.86,5537.18,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANCR12054647548954,236,1,1396.33,1396.33,58,59953.07,6594.75,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANDE68737014498771,707,1,1592.34,1592.34,60,62254.48,4953.71,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ANJK33845247994197,112,1,654.72,654.72,27,75653.62,11883.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ANMR67994206137698,659,1,399.38,399.38,69,90011.62,19781.6228,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOKJ09150863218122,466,1,1704.55,1704.55,52,124054.01,7165.63,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOLZ35138345629334,489,1,3798.67,3798.67,52,148331.67,17549.08,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOTS14937191045141,652,1,3079.97,3079.97,31,93273.18,18502.64,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOUM32713538676259,250,1,2255.32,2255.32,23,21273.8512,11458.87,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AOYM61706166846482,120,1,648.31,648.31,38,108619.98,4895.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AOYV66453629213501,212,1,3434.4,3434.4,68,69793.24,11549.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
APDH69300522144267,311,1,3548.11,3548.11,68,105591.54,17562.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APHA81634811050272,135,1,2817.91,2817.91,37,133156.5,6656.58,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
APWC55587094042245,257,1,231.86,231.86,37,112341.77,2088.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AQDZ57129015071380,486,1,3354.79,3354.79,35,114140.67,13110.67,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQIQ18762099069319,306,1,1514.44,1514.44,29,54059.45,13848.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AQOR87526322844133,635,1,3238.66,3238.66,61,80265.51,1487.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
AQSZ34868839062467,675,1,2741.95,2741.95,61,97541.68,17902.27,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQUW74950334670577,586,1,1671.18,1671.18,32,141158.19,13743.35,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQVY78847798882437,278,1,2033.11,2033.11,38,21273.8512,6390.23,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AQXH78191907499216,569,1,602.18,602.18,56,85216.62,5650.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ARCT00567352635951,684,1,2724.5,2724.5,36,120559.93,1202.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARDB35743189100492,338,1,4397.27,4397.27,53,32321.19,1848.17,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARJH98893903169646,104,1,89.37,89.37,60,38442.0,2120.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ARMO89451193246719,200,1,4934.48,4934.48,36,52902.07,2249.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARMX57879704157429,327,1,2733.1,2733.1,59,95807.2,7085.59,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARNU55099070194305,351,1,2583.05,2583.05,54,58906.74,12371.55,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ARUR42672339907615,22,1,1665.93,1665.93,42,144140.53,12962.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ARYI37685507896793,409,1,835.72,835.72,65,137523.71,9862.3,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASPN58357178620892,416,1,1420.86,1420.86,51,72062.88,15579.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ASPP53967379487148,158,1,4573.17,4573.17,69,124031.77,10198.61,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASRJ16437702170470,16,1,2838.39,2838.39,59,121205.19,18982.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
ASTK78183380703315,222,1,2521.95,2521.95,62,65601.35,16148.37,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASWW37616522898907,561,1,4836.51,4836.51,40,84218.75,2648.03,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASXC10349561199899,669,1,3891.2,3891.2,23,67358.55,17739.48,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASXC28277565399837,521,1,1531.85,1531.85,45,76826.47,16130.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATAD27172098402709,213,1,1582.07,1582.07,54,43364.18,5351.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATBP22087121894523,130,1,232.08,232.08,45,23348.28,10927.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATBW59119186233922,366,1,3605.01,3605.01,43,51492.56,2300.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ATEE22128816903583,418,1,2448.04,2448.04,48,115621.49,12114.09,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATER03371421374727,576,1,1394.74,1394.74,68,94960.33,10507.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
ATFG35174656426018,471,1,2052.84,2052.84,26,25976.46,5829.02,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATKH85574216435990,698,1,4713.67,4713.67,28,122792.67,6125.02,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOD84679087737316,168,1,1830.24,1830.24,44,35840.03,17351.92,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATOI61917798768299,444,1,4321.0,4321.0,23,88402.49,4371.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ATQQ22092521094235,522,1,4743.75,4743.75,25,126133.47,4771.02,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATTL75681134315329,591,1,4448.71,4448.71,56,43895.37,3078.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ATWL22426537932219,427,1,2656.61,2656.61,43,124719.24,7160.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
ATWQ05877155590627,419,1,3802.28,3802.28,45,23583.89,17932.98,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATYO90963515911753,3,1,603.97,603.97,58,97158.62,1605.28,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUFS02769990450820,638,1,51.378,51.378,35,24040.32,18236.13,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AUJT29328507196129,323,1,4175.64,4175.64,69,81713.41,10678.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
AUPX15116966672521,163,1,3410.14,3410.14,67,63463.46,7870.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
