Account_Number,txn_count,total_spend,avg_spend,std_spend,failed_txn_count,online_txn_count,Discount_Applied_mean,Loyalty_Points_Earned_sum,online_txn_ratio,failed_txn_ratio
AQXH78191907499216,1,602.18,602.18,,0,0,1.0,308,0.0,0.0
ARCT00567352635951,1,2724.5,2724.5,,0,0,1.0,112,0.0,0.0
ARDB35743189100492,1,4397.27,4397.27,,0,0,1.0,373,0.0,0.0
ARJH98893903169646,1,89.37,89.37,,0,0,0.0,467,0.0,0.0
ARMO89451193246719,1,4934.48,4934.48,,1,0,0.0,388,0.0,1.0
ARMX57879704157429,1,2733.1,2733.1,,0,0,1.0,56,0.0,0.0
ARNU55099070194305,1,2583.05,2583.05,,0,0,0.0,55,0.0,0.0
ARUR42672339907615,1,1665.93,1665.93,,1,0,1.0,308,0.0,1.0
ARYI37685507896793,1,835.72,835.72,,0,0,0.0,332,0.0,0.0
ASPN58357178620892,1,1420.86,1420.86,,0,0,1.0,473,0.0,0.0
ASPP53967379487148,1,4573.17,4573.17,,0,0,1.0,455,0.0,0.0
ASRJ16437702170470,1,2838.39,2838.39,,0,0,1.0,337,0.0,0.0
ASTK78183380703315,1,2521.95,2521.95,,0,0,1.0,404,0.0,0.0
ASWW37616522898907,1,4836.51,4836.51,,0,0,1.0,149,0.0,0.0
ASXC10349561199899,1,3891.2,3891.2,,0,0,0.0,334,0.0,0.0
ASXC28277565399837,1,1531.85,1531.85,,0,0,0.0,34,0.0,0.0
ATAD27172098402709,1,1582.07,1582.07,,0,0,0.0,436,0.0,0.0
ATBP22087121894523,1,232.08,232.08,,0,0,1.0,436,0.0,0.0
ATBW59119186233922,1,3605.01,3605.01,,0,0,1.0,383,0.0,0.0
ATEE22128816903583,1,2448.04,2448.04,,0,0,1.0,400,0.0,0.0
ATER03371421374727,1,1394.74,1394.74,,0,0,0.0,310,0.0,0.0
ATFG35174656426018,1,2052.84,2052.84,,1,0,0.0,6,0.0,1.0
ATKH85574216435990,1,4713.67,4713.67,,1,0,1.0,96,0.0,1.0
ATOD84679087737316,1,1830.24,1830.24,,0,0,0.0,140,0.0,0.0
ATOI61917798768299,1,4321.0,4321.0,,0,0,1.0,351,0.0,0.0
ATQQ22092521094235,1,4743.75,4743.75,,1,0,1.0,226,0.0,1.0
ATTL75681134315329,1,4448.71,4448.71,,1,0,1.0,381,0.0,1.0
ATWL22426537932219,1,2656.61,2656.61,,1,0,1.0,139,0.0,1.0
ATWQ05877155590627,1,3802.28,3802.28,,0,0,1.0,384,0.0,0.0
ATYO90963515911753,1,603.97,603.97,,1,0,1.0,352,0.0,1.0
AUFS02769990450820,1,51.378,51.378,,0,0,1.0,49,0.0,0.0
AUJT29328507196129,1,4175.64,4175.64,,0,0,0.0,465,0.0,0.0
AUPX15116966672521,1,3410.14,3410.14,,1,0,0.0,159,0.0,1.0
AUPY37676497378053,1,2370.23,2370.23,,0,0,0.0,20,0.0,0.0
AURJ86711724985963,1,4233.17,4233.17,,0,0,0.0,219,0.0,0.0
AURW42296651444865,1,4020.46,4020.46,,0,0,1.0,243,0.0,0.0
AVEG24412336132850,1,998.19,998.19,,0,0,1.0,228,0.0,0.0
AVGS66203858864078,1,2715.26,2715.26,,0,0,0.0,375,0.0,0.0
AVMD43563108232111,1,534.1,534.1,,0,0,0.0,440,0.0,0.0
AVMG26739206042942,1,2289.32,2289.32,,0,0,0.0,484,0.0,0.0
AVXW85578002443236,1,375.04,375.04,,0,0,0.0,314,0.0,0.0
AVZK75997539291881,1,656.22,656.22,,0,0,1.0,151,0.0,0.0
AWBG27303248274635,1,2629.76,2629.76,,0,0,1.0,166,0.0,0.0
AWCD92360376811872,1,3519.18,3519.18,,0,0,1.0,306,0.0,0.0
AWOG55278451271053,1,754.7,754.7,,0,0,1.0,270,0.0,0.0
AXBE58565337773031,1,2503.81,2503.81,,1,0,1.0,328,0.0,1.0
AXFS27640547398622,1,4727.35,4727.35,,0,0,1.0,167,0.0,0.0
AXJU43183436953102,1,2465.66,2465.66,,0,0,0.0,310,0.0,0.0
AXMG24051026583879,1,223.81,223.81,,1,0,0.0,298,0.0,1.0
AXPS74076856449255,1,3454.26,3454.26,,1,0,0.0,95,0.0,1.0
AXYS33732608082872,1,750.34,750.34,,0,0,1.0,188,0.0,0.0
AYCA26557647566573,1,748.74,748.74,,1,0,1.0,341,0.0,1.0
AYEE37799450549522,1,3048.98,3048.98,,0,0,1.0,500,0.0,0.0
AYEU61186801093609,1,2871.74,2871.74,,0,0,0.0,19,0.0,0.0
AYFO41485726029254,1,1132.31,1132.31,,0,0,0.0,206,0.0,0.0
AYLF77035476630779,1,4790.37,4790.37,,0,0,1.0,67,0.0,0.0
AYNY25873608055822,1,4290.51,4290.51,,1,0,0.0,68,0.0,1.0
AYPH82322583376223,1,4032.02,4032.02,,1,0,1.0,147,0.0,1.0
AYQP53589832435951,1,1145.95,1145.95,,0,0,1.0,379,0.0,0.0
AYRO70152424431029,1,856.71,856.71,,0,0,1.0,38,0.0,0.0
AYTB07121024234473,1,665.14,665.14,,1,0,0.0,112,0.0,1.0
AYZM40646278866380,1,3436.83,3436.83,,0,0,0.0,375,0.0,0.0
AZAT66270266045095,1,4542.52,4542.52,,0,0,1.0,108,0.0,0.0
AZFQ81520895217680,1,3854.98,3854.98,,0,0,1.0,227,0.0,0.0
AZGF88894897894172,1,1271.9,1271.9,,1,0,1.0,58,0.0,1.0
AZHF31248914274258,1,3127.54,3127.54,,0,0,0.0,407,0.0,0.0
AZPO31231555057052,1,4057.99,4057.99,,1,0,0.0,276,0.0,1.0
AZSG40991650811364,1,2347.73,2347.73,,1,0,0.0,111,0.0,1.0
AZSQ31818034307148,1,2191.38,2191.38,,0,0,0.0,477,0.0,0.0
AZVF27982579988359,1,4958.134399999999,4958.134399999999,,0,0,1.0,243,0.0,0.0
AZVP55154526075699,1,3584.43,3584.43,,0,0,0.0,402,0.0,0.0
AZWK50800509083069,1,3058.49,3058.49,,0,0,0.0,381,0.0,0.0
AZWU55456515414238,1,147.71,147.71,,0,0,0.0,105,0.0,0.0
AZZM97775323863773,1,1326.28,1326.28,,0,0,0.0,192,0.0,0.0
BAFP63272237369504,1,2601.2,2601.2,,1,0,0.0,458,0.0,1.0
BAIA47692105336514,1,1193.83,1193.83,,0,0,0.0,38,0.0,0.0
BAIC81366206661020,1,4040.16,4040.16,,1,0,1.0,215,0.0,1.0
BARX14528606892174,1,3186.28,3186.28,,0,0,0.0,107,0.0,0.0
BAWF55693186062314,1,1309.23,1309.23,,0,0,1.0,450,0.0,0.0
BAXP70990317211359,1,1117.34,1117.34,,1,0,0.0,163,0.0,1.0
BBAL21410707163485,1,2077.35,2077.35,,0,0,0.0,292,0.0,0.0
BBFG02865505224114,1,4297.41,4297.41,,1,0,0.0,264,0.0,1.0
BBIY87978889753585,1,1331.0,1331.0,,1,0,1.0,312,0.0,1.0
BBKI31222649232724,1,2554.51,2554.51,,0,0,1.0,311,0.0,0.0
BBLN28443290811609,1,2695.4,2695.4,,0,0,0.0,312,0.0,0.0
BBMZ72466390321430,1,658.18,658.18,,1,0,0.0,291,0.0,1.0
BBNH64704870428048,1,810.43,810.43,,0,0,1.0,203,0.0,0.0
BBSF82103887815141,1,2697.09,2697.09,,1,0,1.0,41,0.0,1.0
BBSH21956932050650,1,4594.25,4594.25,,0,0,0.0,483,0.0,0.0
BBTF99695280707718,1,4176.35,4176.35,,1,0,1.0,106,0.0,1.0
BBZI62776572565920,1,3377.69,3377.69,,0,0,1.0,254,0.0,0.0
BCKH03044077811096,1,3432.06,3432.06,,0,0,1.0,425,0.0,0.0
BCKI38578180779491,1,1168.82,1168.82,,0,0,1.0,8,0.0,0.0
BCKZ71171321940247,1,2658.18,2658.18,,0,0,0.0,299,0.0,0.0
BCNU09706704302419,1,3067.13,3067.13,,0,0,1.0,402,0.0,0.0
BCPX01175556774735,1,1346.47,1346.47,,0,0,0.0,470,0.0,0.0
BCRP36376274208600,1,4852.83,4852.83,,0,0,0.0,133,0.0,0.0
BCSG63395975778977,1,759.92,759.92,,0,0,1.0,149,0.0,0.0
BCVJ10488206456200,1,3004.73,3004.73,,0,0,1.0,364,0.0,0.0
BCWJ10082592306511,1,2863.43,2863.43,,0,0,0.0,15,0.0,0.0
BCZB89810723227478,1,821.75,821.75,,0,0,0.0,77,0.0,0.0
BDIL84081144157281,1,1428.22,1428.22,,0,0,0.0,384,0.0,0.0
BDLM53995211542401,1,568.15,568.15,,1,0,1.0,330,0.0,1.0
BDXI07983400771601,1,3238.62,3238.62,,0,0,1.0,303,0.0,0.0
BDZC54033596900705,1,4957.36,4957.36,,1,0,1.0,404,0.0,1.0
BEDB91626969672783,1,3819.03,3819.03,,0,0,1.0,436,0.0,0.0
BEDL16758646339534,1,1522.66,1522.66,,1,0,0.0,195,0.0,1.0
BELY89632174357483,1,4457.67,4457.67,,1,0,1.0,191,0.0,1.0
BESI55469726142448,1,677.06,677.06,,0,0,0.0,358,0.0,0.0
BETA90463766046558,1,2432.52,2432.52,,0,0,1.0,101,0.0,0.0
BEWJ50632705241694,1,4226.88,4226.88,,0,0,1.0,350,0.0,0.0
BFDF91823637251129,1,2550.07,2550.07,,0,0,0.0,266,0.0,0.0
BFED49161019953210,1,3653.82,3653.82,,0,0,1.0,458,0.0,0.0
BFFY15439044890932,1,51.378,51.378,,0,0,1.0,278,0.0,0.0
BFGG68287808970794,1,1567.92,1567.92,,0,0,0.0,84,0.0,0.0
BFIJ64423598648409,1,1463.46,1463.46,,1,0,1.0,283,0.0,1.0
BFLW88551088921710,1,1716.95,1716.95,,1,0,0.0,282,0.0,1.0
BFXC24582470807092,1,1002.38,1002.38,,0,0,0.0,381,0.0,0.0
BFZR79826225557419,1,1978.59,1978.59,,0,0,0.0,204,0.0,0.0
BGCM13177905340388,1,4958.134399999999,4958.134399999999,,0,0,1.0,291,0.0,0.0
BGCV06664651847887,1,389.96,389.96,,0,0,0.0,48,0.0,0.0
BGDR27369219167710,1,3842.46,3842.46,,0,0,0.0,413,0.0,0.0
BGQZ39427134247064,1,4000.5,4000.5,,0,0,1.0,145,0.0,0.0
BGSP10104433050980,1,1918.3,1918.3,,1,0,1.0,257,0.0,1.0
BHNW79889373630152,1,3071.07,3071.07,,1,0,0.0,352,0.0,1.0
BHRC56959070569510,1,51.378,51.378,,0,0,1.0,460,0.0,0.0
BHRW85772603336063,1,3896.64,3896.64,,1,0,1.0,203,0.0,1.0
BHWK06757896833557,1,3527.61,3527.61,,1,0,1.0,438,0.0,1.0
BIBM29118722824718,1,501.28,501.28,,0,0,0.0,110,0.0,0.0
BIES85658513797275,1,2474.0,2474.0,,0,0,0.0,381,0.0,0.0
BIHZ94616222772610,1,674.07,674.07,,0,0,1.0,457,0.0,0.0
BIXP07893798775239,1,51.378,51.378,,0,0,0.0,402,0.0,0.0
BJBH24044012178563,1,1659.93,1659.93,,1,0,1.0,43,0.0,1.0
BJEA42247042848501,1,98.01,98.01,,0,0,0.0,353,0.0,0.0
BJII55143442111754,1,1643.19,1643.19,,0,0,0.0,254,0.0,0.0
BJIN65895247609606,1,1242.48,1242.48,,1,0,1.0,132,0.0,1.0
BJJC85006030798436,1,3958.17,3958.17,,0,0,1.0,379,0.0,0.0
BJOZ22053970774544,1,3128.92,3128.92,,0,0,0.0,475,0.0,0.0
BJPF94842209001431,1,2759.58,2759.58,,0,0,1.0,323,0.0,0.0
BJSJ44076634933965,1,2922.48,2922.48,,0,0,1.0,278,0.0,0.0
BJST88782988727544,1,4304.58,4304.58,,0,0,0.0,450,0.0,0.0
BJVA34176097137779,1,1988.08,1988.08,,1,0,0.0,77,0.0,1.0
BKCK57826388032427,1,2214.67,2214.67,,0,0,1.0,318,0.0,0.0
BKEB48825267913885,1,3655.29,3655.29,,0,0,1.0,489,0.0,0.0
BKFU04956686510389,1,1596.99,1596.99,,0,0,0.0,5,0.0,0.0
BKQU29582923616188,1,3924.17,3924.17,,0,0,1.0,147,0.0,0.0
BKSB41179779631994,1,1987.5,1987.5,,0,0,0.0,334,0.0,0.0
BKTR68569771433608,1,1060.11,1060.11,,1,0,0.0,132,0.0,1.0
BKWN60361624860704,1,1200.29,1200.29,,1,0,1.0,103,0.0,1.0
BKXL30611390045892,1,712.67,712.67,,0,0,0.0,293,0.0,0.0
BLAL90855765789379,1,3864.2,3864.2,,1,0,1.0,172,0.0,1.0
BLAT22216107051843,1,129.93,129.93,,0,0,0.0,383,0.0,0.0
BLME01901134843391,1,3594.99,3594.99,,0,0,0.0,445,0.0,0.0
BLMS60580823006799,1,2290.44,2290.44,,0,0,1.0,321,0.0,0.0
BLOK49811180981660,1,1764.86,1764.86,,0,0,0.0,291,0.0,0.0
BLPC75322799752615,1,1241.32,1241.32,,1,0,0.0,434,0.0,1.0
BLQQ84193626313494,1,3976.11,3976.11,,1,0,0.0,378,0.0,1.0
BLQZ69972459715579,1,3896.82,3896.82,,1,0,1.0,476,0.0,1.0
BLSG94815043903560,1,4899.59,4899.59,,0,0,0.0,469,0.0,0.0
BLST44617353606844,1,3472.49,3472.49,,0,0,1.0,353,0.0,0.0
BLXO27562202175892,1,690.49,690.49,,0,0,1.0,320,0.0,0.0
BLYJ79489830186080,1,1256.55,1256.55,,0,0,0.0,429,0.0,0.0
BMEQ95804248511688,1,3352.92,3352.92,,0,0,1.0,327,0.0,0.0
BMGW14035263560229,1,897.37,897.37,,0,0,0.0,122,0.0,0.0
BMIH71960348973116,1,2476.96,2476.96,,0,0,0.0,394,0.0,0.0
BMJG69779447749205,1,1906.13,1906.13,,0,0,0.0,120,0.0,0.0
BMLB31219804184724,1,297.88,297.88,,0,0,1.0,464,0.0,0.0
BMRE99458028457186,1,1346.34,1346.34,,1,0,0.0,74,0.0,1.0
BMSW39285320254616,1,3770.01,3770.01,,0,0,0.0,118,0.0,0.0
BMUK45734854132366,1,98.51,98.51,,0,0,0.0,340,0.0,0.0
BMVY07277236576147,1,4906.77,4906.77,,0,0,1.0,255,0.0,0.0
BMZU60392051460745,1,240.35,240.35,,0,0,0.0,495,0.0,0.0
BNMK25670553435356,1,1542.32,1542.32,,1,0,0.0,371,0.0,1.0
BNTN72128156838702,1,2917.82,2917.82,,1,0,1.0,84,0.0,1.0
BNVW61312129887466,1,680.86,680.86,,1,0,1.0,303,0.0,1.0
BNXY59400381803648,1,4958.134399999999,4958.134399999999,,1,0,0.0,293,0.0,1.0
BOAC34223550440571,1,3262.98,3262.98,,1,0,0.0,101,0.0,1.0
BOAD82155741251218,1,4320.93,4320.93,,0,0,1.0,237,0.0,0.0
BOCZ69500741894854,1,4939.52,4939.52,,1,0,0.0,214,0.0,1.0
BOFQ01234289311325,1,2379.04,2379.04,,1,0,1.0,153,0.0,1.0
BOFZ90847980117056,1,4083.39,4083.39,,1,0,1.0,99,0.0,1.0
BOJJ72276439117228,1,1045.27,1045.27,,1,0,0.0,21,0.0,1.0
BOKC93914603782803,1,2176.21,2176.21,,0,0,0.0,325,0.0,0.0
BOMS91528311977895,1,4240.22,4240.22,,0,0,0.0,127,0.0,0.0
BONY28397620534407,1,518.45,518.45,,0,0,0.0,496,0.0,0.0
BORF81604137964049,1,4589.82,4589.82,,0,0,1.0,192,0.0,0.0
BOSR10513146929933,1,3856.12,3856.12,,0,0,1.0,271,0.0,0.0
BOTA43893531732461,1,378.95,378.95,,0,0,1.0,160,0.0,0.0
BOUK24003305109724,1,2546.23,2546.23,,0,0,1.0,486,0.0,0.0
BOWZ85778846205420,1,2287.94,2287.94,,1,0,0.0,67,0.0,1.0
BOXV90448138819011,1,999.29,999.29,,1,0,1.0,278,0.0,1.0
BOYH51289622068243,1,1548.38,1548.38,,0,0,0.0,372,0.0,0.0
BOZO01773759493307,1,2946.41,2946.41,,1,0,1.0,118,0.0,1.0
BPBM11402235960658,1,3585.7,3585.7,,0,0,1.0,367,0.0,0.0
BPMW34153597710011,1,340.33,340.33,,0,0,1.0,490,0.0,0.0
BPVB08133490237432,1,4611.52,4611.52,,1,0,0.0,282,0.0,1.0
BQBT10729967224855,1,160.82,160.82,,1,0,1.0,247,0.0,1.0
BQDS04823571558686,1,4038.45,4038.45,,1,0,1.0,338,0.0,1.0
BQLA96085874951191,1,4947.67,4947.67,,0,0,0.0,34,0.0,0.0
BQNW75226249152893,1,838.98,838.98,,0,0,0.0,297,0.0,0.0
BQYU55883485643275,1,4554.47,4554.47,,0,0,1.0,282,0.0,0.0
BQZA18498042537337,1,1247.04,1247.04,,1,0,0.0,380,0.0,1.0
BQZG95406351609841,1,3758.94,3758.94,,0,0,0.0,333,0.0,0.0
BRAK85824049779572,1,472.04,472.04,,0,0,1.0,454,0.0,0.0
BRGR51799378105391,1,4249.44,4249.44,,0,0,1.0,429,0.0,0.0
BRHJ06262953644148,1,1098.0,1098.0,,1,0,0.0,425,0.0,1.0
BRHX88846108622659,1,3732.02,3732.02,,0,0,1.0,482,0.0,0.0
BRKS42682395543448,1,52.2,52.2,,1,0,1.0,63,0.0,1.0
BRMR74412359989625,1,2472.09,2472.09,,0,0,1.0,198,0.0,0.0
BRRA98950665935614,1,1451.53,1451.53,,1,0,1.0,37,0.0,1.0
BRUY69227025254110,1,1163.12,1163.12,,0,0,0.0,447,0.0,0.0
BRXD05635869902131,1,1290.04,1290.04,,0,0,0.0,235,0.0,0.0
BRZI38006399378236,1,1768.87,1768.87,,1,0,1.0,171,0.0,1.0
BSJQ16853199908701,1,4256.81,4256.81,,0,0,0.0,320,0.0,0.0
BSLH14196156078327,1,3388.2,3388.2,,1,0,1.0,47,0.0,1.0
BSQH96548943380536,1,3454.52,3454.52,,0,0,1.0,58,0.0,0.0
BSUS97024404310907,1,4327.21,4327.21,,0,0,1.0,250,0.0,0.0
BTCE57378210567338,1,3952.03,3952.03,,0,0,1.0,172,0.0,0.0
BTIQ03695756294339,1,4582.81,4582.81,,1,0,0.0,284,0.0,1.0
BTOJ27493663579671,1,1771.22,1771.22,,0,0,0.0,31,0.0,0.0
BTRL68350518344027,1,690.13,690.13,,0,0,0.0,482,0.0,0.0
BTSQ45276198802427,1,4460.83,4460.83,,0,0,1.0,429,0.0,0.0
BTSU12423483906184,1,1359.88,1359.88,,1,0,1.0,332,0.0,1.0
BTUC38919860208289,1,1710.08,1710.08,,0,0,0.0,406,0.0,0.0
