Account_Number,last_txn_date,frequency,monetary,avg_monetary,customer_age,customer_income,account_balance,recency_days,txn_count,total_spend,avg_spend,std_spend,failed_txn_count,online_txn_count,Discount_Applied_mean,Loyalty_Points_Earned_sum,online_txn_ratio,failed_txn_ratio,loan_amount,loan_term,loan_purpose,risk_score,default_flag
AJUT62732262611424,2024-11-12 01:39:28,1,3479.14,3479.14,49,138841.66,4120.05,69,1,3479.14,3479.14,,0,0,0.0,420,0.0,0.0,614685,36,Education,0.03450909261465327,0
AJUZ99157380679967,2023-09-05 23:52:34,1,4068.48,4068.48,25,29076.05,9901.01,502,1,4068.48,4068.48,,0,0,0.0,456,0.0,0.0,1452107,60,Education,0.42545842436880893,1
AJVJ79405051594906,2023-09-25 18:35:03,1,873.11,873.11,43,98620.64,17881.64,482,1,873.11,873.11,,0,0,1.0,258,0.0,0.0,1361736,36,Business,0.1158798373502545,0
AJYP79001388597871,2024-10-03 07:17:56,1,951.35,951.35,22,100444.84,12648.49,109,1,951.35,951.35,,1,0,0.0,241,0.0,1.0,1057293,24,Vehicle,0.09204663608084174,0
AKGO82868722030710,2025-01-11 21:22:32,1,1800.85,1800.85,51,131896.33,16229.99,8,1,1800.85,1800.85,,0,0,1.0,391,0.0,0.0,629879,60,Home,0.034589892803318374,0
AKHD60227433037271,2024-04-05 16:41:49,1,2977.23,2977.23,36,84887.87,11000.38,289,1,2977.23,2977.23,,0,0,1.0,9,0.0,0.0,73247,36,Personal,0.0049696328512335375,0
AKHJ28164416101975,2024-09-17 09:00:00,1,432.64,432.64,41,90457.04,10129.7,125,1,432.64,432.64,,0,0,0.0,22,0.0,0.0,1122876,36,Personal,0.10393226159099696,0
AKHK21622965221198,2024-10-07 16:37:58,1,927.81,927.81,24,72683.95,688.09,104,1,927.81,927.81,,0,0,0.0,118,0.0,0.0,1372905,48,Personal,0.15941135122193506,0
AKID52807864770169,2023-12-01 09:36:45,1,1005.48,1005.48,44,60647.11,6463.42,416,1,1005.48,1005.48,,0,0,1.0,277,0.0,0.0,1817640,36,Personal,0.25435959311918344,1
AKIH37073671274706,2024-09-27 19:21:27,1,2891.78,2891.78,41,121337.84,11784.5,114,1,2891.78,2891.78,,0,0,1.0,296,0.0,0.0,1335160,12,Home,0.09185442047369667,0
AKTW20823530976691,2023-06-18 23:18:37,1,4726.24,4726.24,20,129178.53,8843.31,581,1,4726.24,4726.24,,0,0,0.0,351,0.0,0.0,1660908,60,Home,0.10773759370344763,0
AKUB52438380582692,2024-05-09 23:43:22,1,3863.54,3863.54,42,116418.08,5707.9,255,1,3863.54,3863.54,,0,0,1.0,135,0.0,0.0,1936222,12,Business,0.14007396436441794,0
ALBW74511524718710,2023-10-01 02:04:06,1,2366.76,2366.76,58,71708.49,17225.25,477,1,2366.76,2366.76,,1,0,1.0,76,0.0,1.0,1028732,60,Vehicle,0.12477460964913714,0
ALHJ74923081079934,2023-07-29 09:38:15,1,200.76,200.76,51,90718.15,18773.91,541,1,200.76,200.76,,0,0,1.0,133,0.0,0.0,1475472,48,Home,0.1369268825579009,1
ALJU67884880595474,2024-03-07 12:55:56,1,2496.65,2496.65,43,135581.48,421.12,318,1,2496.65,2496.65,,1,0,1.0,116,0.0,1.0,98984,36,Business,0.008115835822375938,0
ALPG26630562597223,2023-03-03 17:25:46,1,2776.92,2776.92,21,37678.04,11801.07,688,1,2776.92,2776.92,,1,0,1.0,161,0.0,1.0,2450070,36,Education,0.5589875446265616,0
ALYH72565633734348,2024-06-21 15:18:14,1,2484.29,2484.29,53,27858.05,9674.85,212,1,2484.29,2484.29,,0,0,0.0,33,0.0,0.0,2411864,36,Vehicle,0.73933421940108,0
AMAS58062745669839,2024-11-26 04:37:35,1,3970.53,3970.53,57,148589.88799999998,14003.31,55,1,3970.53,3970.53,,1,0,0.0,412,0.0,1.0,1554384,60,Home,0.08982227157687972,0
AMGH65586171106967,2024-03-01 02:23:21,1,4677.88,4677.88,48,94130.52,646.88,325,1,4677.88,4677.88,,0,0,1.0,196,0.0,0.0,2083643,36,Education,0.18723146132583798,0
AMHE50313928048502,2023-01-29 09:43:19,1,1189.84,1189.84,66,29763.63,2302.19,722,1,1189.84,1189.84,,0,0,1.0,402,0.0,0.0,2280919,12,Business,0.6541524262158914,1
AMKN81540985217729,2023-03-01 21:14:09,1,1924.71,1924.71,45,50656.82,4922.5,690,1,1924.71,1924.71,,1,0,1.0,395,0.0,1.0,1802126,36,Home,0.30666007810462853,0
AMNK89782425658293,2023-08-24 04:05:16,1,693.65,693.65,42,65586.83,19477.54,515,1,693.65,693.65,,1,0,1.0,452,0.0,1.0,186330,48,Home,0.026201503896424283,0
AMSY84433890254712,2023-10-21 04:52:01,1,3134.27,3134.27,56,62388.8,15338.49,457,1,3134.27,3134.27,,0,0,1.0,49,0.0,0.0,1787095,12,Education,0.24299646551066895,0
AMUF01663340142156,2023-03-20 08:19:21,1,3033.27,3033.27,58,25339.24,12731.52,672,1,3033.27,3033.27,,1,0,0.0,305,0.0,1.0,2161138,36,Home,0.7325743123021854,1
AMWE63823919294787,2023-05-02 04:00:07,1,3391.25,3391.25,21,33307.07,9542.78,629,1,3391.25,3391.25,,1,0,0.0,421,0.0,1.0,636146,36,Personal,0.16549816794387703,0
AMXH78170483648116,2024-02-07 15:20:07,1,3666.04,3666.04,26,54379.32,5415.65,347,1,3666.04,3666.04,,1,0,0.0,41,0.0,1.0,2159818,24,Home,0.34215197831946825,1
ANAQ27610023512094,2023-03-12 13:22:57,1,670.07,670.07,60,100987.86,5537.18,679,1,670.07,670.07,,0,0,0.0,31,0.0,0.0,2281785,60,Vehicle,0.19116395412096404,0
ANCR12054647548954,2024-05-28 22:03:46,1,1396.33,1396.33,58,59953.07,6594.75,236,1,1396.33,1396.33,,0,0,0.0,258,0.0,0.0,338998,12,Education,0.046022287991630315,0
ANDE68737014498771,2023-02-13 07:20:00,1,1592.34,1592.34,60,62254.48,4953.71,707,1,1592.34,1592.34,,0,0,0.0,434,0.0,0.0,1893400,24,Vehicle,0.2581562161910097,0
ANJK33845247994197,2024-09-29 20:54:12,1,654.72,654.72,27,75653.62,11883.58,112,1,654.72,654.72,,0,0,1.0,191,0.0,0.0,1129111,48,Business,0.12544907661653948,0
ANMR67994206137698,2023-04-01 15:08:26,1,399.38,399.38,69,90011.62,19781.6228,659,1,399.38,399.38,,0,0,0.0,443,0.0,0.0,1046107,60,Vehicle,0.09715123684614668,0
AOKJ09150863218122,2023-10-12 00:47:22,1,1704.55,1704.55,52,124054.01,7165.63,466,1,1704.55,1704.55,,0,0,0.0,468,0.0,0.0,401279,12,Personal,0.02529127015967066,0
AOLZ35138345629334,2023-09-18 21:35:26,1,3798.67,3798.67,52,148331.67,17549.08,489,1,3798.67,3798.67,,0,0,1.0,13,0.0,0.0,1920230,36,Personal,0.10849214067078207,0
AOTS14937191045141,2023-04-09 03:58:13,1,3079.97,3079.97,31,93273.18,18502.64,652,1,3079.97,3079.97,,0,0,0.0,102,0.0,0.0,539570,12,Vehicle,0.04714021670838753,0
AOUM32713538676259,2024-05-15 11:52:25,1,2255.32,2255.32,23,21273.8512,11458.87,250,1,2255.32,2255.32,,1,0,1.0,282,0.0,1.0,2100731,36,Business,0.847878177475054,1
AOYM61706166846482,2024-09-22 02:11:25,1,648.31,648.31,38,108619.98,4895.3,120,1,648.31,648.31,,1,0,0.0,353,0.0,1.0,1371685,60,Home,0.11005791680019752,0
AOYV66453629213501,2024-06-21 13:48:45,1,3434.4,3434.4,68,69793.24,11549.53,212,1,3434.4,3434.4,,0,0,1.0,51,0.0,0.0,2171690,36,Personal,0.26417276457308647,0
APDH69300522144267,2024-03-15 03:46:39,1,3548.11,3548.11,68,105591.54,17562.4,311,1,3548.11,3548.11,,1,0,1.0,460,0.0,1.0,2348816,48,Vehicle,0.19244678069820867,1
APHA81634811050272,2024-09-07 10:58:10,1,2817.91,2817.91,37,133156.5,6656.58,135,1,2817.91,2817.91,,0,0,1.0,393,0.0,0.0,541234,36,Vehicle,0.0324020378567182,0
APWC55587094042245,2024-05-07 16:05:54,1,231.86,231.86,37,112341.77,2088.42,257,1,231.86,231.86,,1,0,0.0,462,0.0,1.0,1998260,48,Vehicle,0.15425975903690695,0
AQDZ57129015071380,2023-09-21 20:47:01,1,3354.79,3354.79,35,114140.67,13110.67,486,1,3354.79,3354.79,,0,0,0.0,370,0.0,0.0,189182,60,Home,0.011777479494555217,0
AQIQ18762099069319,2024-03-20 11:24:11,1,1514.44,1514.44,29,54059.45,13848.36,306,1,1514.44,1514.44,,0,0,1.0,404,0.0,0.0,1571101,60,Education,0.24657703887328097,0
AQOR87526322844133,2023-04-26 01:34:58,1,3238.66,3238.66,61,80265.51,1487.37,635,1,3238.66,3238.66,,0,0,1.0,393,0.0,0.0,1256914,12,Business,0.1317440154617664,0
AQSZ34868839062467,2023-03-17 05:15:18,1,2741.95,2741.95,61,97541.68,17902.27,675,1,2741.95,2741.95,,1,0,0.0,158,0.0,1.0,234064,48,Education,0.02242033165932168,0
AQUW74950334670577,2023-06-14 10:06:10,1,1671.18,1671.18,32,141158.19,13743.35,586,1,1671.18,1671.18,,0,0,1.0,61,0.0,0.0,264020,48,Business,0.013601924768229558,0
AQVY78847798882437,2024-04-17 05:08:53,1,2033.11,2033.11,38,21273.8512,6390.23,278,1,2033.11,2033.11,,0,0,1.0,461,0.0,0.0,2022990,24,Business,0.8122859513295764,1
AQXH78191907499216,2023-06-30 19:47:20,1,602.18,602.18,56,85216.62,5650.04,569,1,602.18,602.18,,0,0,1.0,308,0.0,0.0,947421,24,Vehicle,0.09283201188451293,1
ARCT00567352635951,2023-03-07 13:23:16,1,2724.5,2724.5,36,120559.93,1202.2,684,1,2724.5,2724.5,,0,0,1.0,112,0.0,0.0,1744490,24,Personal,0.121552651955312,0
ARDB35743189100492,2024-02-17 06:08:06,1,4397.27,4397.27,53,32321.19,1848.17,338,1,4397.27,4397.27,,0,0,1.0,373,0.0,0.0,1217752,36,Vehicle,0.3203767155248288,0
ARJH98893903169646,2024-10-07 15:05:21,1,89.37,89.37,60,38442.0,2120.31,104,1,89.37,89.37,,0,0,0.0,467,0.0,0.0,2366121,24,Home,0.5249220643980785,0
ARMO89451193246719,2024-07-04 10:11:34,1,4934.48,4934.48,36,52902.07,2249.3,200,1,4934.48,4934.48,,1,0,0.0,388,0.0,1.0,172409,48,Business,0.029783210118425933,0
ARMX57879704157429,2024-02-28 00:48:15,1,2733.1,2733.1,59,95807.2,7085.59,327,1,2733.1,2733.1,,0,0,1.0,56,0.0,0.0,2066716,36,Personal,0.18239868636992168,0
ARNU55099070194305,2024-02-04 04:00:46,1,2583.05,2583.05,54,58906.74,12371.55,351,1,2583.05,2583.05,,0,0,0.0,55,0.0,0.0,2400770,60,Business,0.3467601604577364,1
ARUR42672339907615,2024-12-28 14:59:53,1,1665.93,1665.93,42,144140.53,12962.68,22,1,1665.93,1665.93,,1,0,1.0,308,0.0,1.0,819598,12,Business,0.04734167437416811,0
ARYI37685507896793,2023-12-07 17:18:03,1,835.72,835.72,65,137523.71,9862.3,409,1,835.72,835.72,,0,0,0.0,332,0.0,0.0,1148591,24,Vehicle,0.06913505136724743,0
ASPN58357178620892,2023-11-30 17:40:44,1,1420.86,1420.86,51,72062.88,15579.58,416,1,1420.86,1420.86,,0,0,1.0,473,0.0,0.0,924371,60,Personal,0.1074783581174496,0
ASPP53967379487148,2024-08-14 18:11:34,1,4573.17,4573.17,69,124031.77,10198.61,158,1,4573.17,4573.17,,0,0,1.0,455,0.0,0.0,1509933,48,Personal,0.10187970391071931,0
ASRJ16437702170470,2025-01-04 12:02:51,1,2838.39,2838.39,59,121205.19,18982.55,16,1,2838.39,2838.39,,0,0,1.0,337,0.0,0.0,1204454,12,Business,0.0791957816244933,0
ASTK78183380703315,2024-06-11 21:38:23,1,2521.95,2521.95,62,65601.35,16148.37,222,1,2521.95,2521.95,,0,0,1.0,404,0.0,0.0,1023548,60,Personal,0.13125606203357282,1
ASWW37616522898907,2023-07-09 07:44:27,1,4836.51,4836.51,40,84218.75,2648.03,561,1,4836.51,4836.51,,0,0,1.0,149,0.0,0.0,1263475,12,Personal,0.1261137289661472,0
ASXC10349561199899,2023-03-23 04:25:48,1,3891.2,3891.2,23,67358.55,17739.48,669,1,3891.2,3891.2,,0,0,0.0,334,0.0,0.0,2071900,24,Vehicle,0.26111582465988514,0
ASXC28277565399837,2023-08-17 22:59:03,1,1531.85,1531.85,45,76826.47,16130.34,521,1,1531.85,1531.85,,0,0,0.0,34,0.0,0.0,1049238,48,Education,0.11458941173802556,0
ATAD27172098402709,2024-06-21 04:38:37,1,1582.07,1582.07,54,43364.18,5351.06,213,1,1582.07,1582.07,,0,0,0.0,436,0.0,0.0,1978434,12,Home,0.3884678868485259,0
ATBP22087121894523,2024-09-11 14:22:01,1,232.08,232.08,45,23348.28,10927.35,130,1,232.08,232.08,,0,0,1.0,436,0.0,0.0,429989,60,Education,0.15535939893380105,0
ATBW59119186233922,2024-01-20 01:52:47,1,3605.01,3605.01,43,51492.56,2300.87,366,1,3605.01,3605.01,,0,0,1.0,383,0.0,0.0,93585,24,Personal,0.013148177324952427,0
ATEE22128816903583,2023-11-29 01:08:23,1,2448.04,2448.04,48,115621.49,12114.09,418,1,2448.04,2448.04,,0,0,1.0,400,0.0,0.0,1469945,24,Business,0.10650339904952583,0
ATER03371421374727,2023-06-24 09:05:31,1,1394.74,1394.74,68,94960.33,10507.64,576,1,1394.74,1394.74,,0,0,0.0,310,0.0,0.0,2211196,60,Home,0.19708269829086877,0
ATFG35174656426018,2023-10-07 09:06:29,1,2052.84,2052.84,26,25976.46,5829.02,471,1,2052.84,2052.84,,1,0,0.0,6,0.0,1.0,159556,60,Home,0.054485670540233413,0
